word,categories,cefr,meaning_ko,meaning_en,meaning_tr,example
새,Animals/Bird,A1,새,bird,kuş,새가 날고 있어요.
소,Animals/Farm,A1,소,cow,inek,소가 풀을 먹어요.
말,Animals/Farm,A1,말,horse,at,말이 빨리 달려요.
나무,Nature/Plants,A1,나무,tree,ağaç,나무가 커요.
꽃,Nature/Plants,A1,꽃,flower,çiçek,꽃이 예뻐요.
풀,Nature/Plants,A1,풀,grass,ot,풀이 초록색이에요.
태양,Nature/Sky,A1,태양,sun,güneş,태양이 밝아요.
달,Nature/Sky,A1,달,moon,ay,달이 둥글어요.
별,Nature/Sky,A1,별,star,yıldız,별 하나가 보여요.
하늘,Nature/Sky,A1,하늘,sky,gökyüzü,하늘이 파래요.
비,Weather/Rain,A1,비,rain,yağmur,비가 차가워요.
눈,Weather/Snow,A1,눈,snow,kar,눈이 밤에 내려요.
바람,Weather/Wind,A1,바람,wind,rüzgar,바람이 강해요.
하루,Time/Day,A1,하루,day,gün,오늘은 좋은 하루예요.
밤,Time/Day,A1,밤,night,gece,좋은 밤이에요.
아침,Time/Day,A1,아침,morning,sabah,아침에 달려요.
저녁,Time/Day,A1,저녁,evening,akşam,저녁에 먹어요.
오늘,Time/Day,A1,오늘,today,bugün,오늘은 따뜻해요.
내일,Time/Day,A1,내일,tomorrow,yarın,내일은 일해요.
어제,Time/Day,A1,어제,yesterday,dün,어제는 비가 왔어요.
월요일,Time/Week,A1,월요일,Monday,Pazartesi,월요일은 바빠요.
1월,Time/Month,A1,1월,January,Ocak,1월은 추워요.
시간,Time/General,A1,시간,time,zaman,지금 몇 시예요?
년,Time/Year,A1,년,year,yıl,올해는 좋아요.
빨간색,Colors/Basic,A1,빨간색,red,kırmızı,차가 빨개요.
파란색,Colors/Basic,A1,파란색,blue,mavi,가방이 파래요.
초록색,Colors/Basic,A1,초록색,green,yeşil,나무가 초록이에요.
검은색,Colors/Basic,A1,검은색,black,siyah,고양이가 검어요.
하얀색,Colors/Basic,A1,하얀색,white,beyaz,셔츠가 하얘요.
하나,Numbers/Basic,A1,하나,one,bir,펜이 하나 있어요.
둘,Numbers/Basic,A1,둘,two,iki,컵이 둘 있어요.
셋,Numbers/Basic,A1,셋,three,üç,새가 셋 날아요.
넷,Numbers/Basic,A1,넷,four,dört,의자가 넷 있어요.
다섯,Numbers/Basic,A1,다섯,five,beş,나는 다섯 쪽 읽어요.
가다,Actions/Movement,A1,가다,go,gitmek,나는 학교에 가요.
오다,Actions/Movement,A1,오다,come,gelmek,여기로 와 주세요.
먹다,Actions/Food,A1,먹다,eat,yemek,우리는 밥을 먹어요.
마시다,Actions/Food,A1,마시다,drink,içmek,나는 차를 마셔요.
